"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","epithelial cell migration","GO:0010631","false","0.00036747505661306886","3.4347721345197813","168","48","8","11642","FBGN0010379,FBGN0000490,FBGN0010341,FBGN0000463,FBGN0000229,FBGN0032006,FBGN0014010,FBGN0016917"
"GO:BP","regulation of developmental process","GO:0050793","false","0.0003746740732902109","3.426346358191404","683","48","14","11642","FBGN0010379,FBGN0000490,FBGN0000261,FBGN0010341,FBGN0000463,FBGN0026479,FBGN0033159,FBGN0001233,FBGN0261984,FBGN0000229,FBGN0039354,FBGN0263289,FBGN0016917,FBGN0262473"
"GO:BP","epithelium migration","GO:0090132","false","0.000384548819521081","3.4150485174939447","169","48","8","11642","FBGN0010379,FBGN0000490,FBGN0010341,FBGN0000463,FBGN0000229,FBGN0032006,FBGN0014010,FBGN0016917"
"GO:BP","oogenesis","GO:0048477","false","0.0004244191942893811","3.37220498342889","584","48","13","11642","FBGN0010379,FBGN0000490,FBGN0004106,FBGN0010341,FBGN0000463,FBGN0001233,FBGN0000229,FBGN0032006,FBGN0014010,FBGN0052062,FBGN0263289,FBGN0016917,FBGN0053542"
"GO:BP","response to unfolded protein","GO:0006986","false","0.00043597597015663603","3.3605374472359366","38","48","5","11642","FBGN0013275,FBGN0013276,FBGN0013278,FBGN0013279,FBGN0261984"
"GO:BP","embryo development ending in birth or egg hatching","GO:0009792","false","0.00045982368915974576","3.337408658542286","173","48","8","11642","FBGN0000490,FBGN0004106,FBGN0010341,FBGN0000229,FBGN0032006,FBGN0014010,FBGN0263289,FBGN0053542"
"GO:BP","tissue migration","GO:0090130","false","0.0005473863615756385","3.261706027470707","177","48","8","11642","FBGN0010379,FBGN0000490,FBGN0010341,FBGN0000463,FBGN0000229,FBGN0032006,FBGN0014010,FBGN0016917"
"GO:BP","cellular response to oxidative stress","GO:0034599","false","0.0005680190261588559","3.2456371170752223","40","48","5","11642","FBGN0000229,FBGN0040305,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:BP","cellular response to reactive oxygen species","GO:0034614","false","0.0005819738101598494","3.2350965589222467","17","48","4","11642","FBGN0000229,FBGN0003462,FBGN0010213,FBGN0033631"
"GO:BP","border follicle cell migration","GO:0007298","false","0.0006019734452143747","3.2204226663023574","122","48","7","11642","FBGN0010379,FBGN0010341,FBGN0000463,FBGN0000229,FBGN0032006,FBGN0014010,FBGN0016917"
"GO:BP","animal organ development","GO:0048513","false","0.0006160327353083902","3.2103962092867775","1210","48","18","11642","FBGN0000490,FBGN0005590,FBGN0000261,FBGN0010341,FBGN0000422,FBGN0000463,FBGN0026479,FBGN0033159,FBGN0261984,FBGN0000229,FBGN0265042,FBGN0032006,FBGN0014010,FBGN0052062,FBGN0263289,FBGN0016917,FBGN0262473,FBGN0053542"
"GO:BP","homeostasis of number of cells","GO:0048872","false","0.0007298180350355139","3.136785408689065","42","48","5","11642","FBGN0000490,FBGN0000261,FBGN0032006,FBGN0016917,FBGN0053542"
"GO:BP","positive regulation of biological process","GO:0048518","false","0.0007717765648820128","3.1125084129853366","1827","48","22","11642","FBGN0010379,FBGN0000490,FBGN0010341,FBGN0029131,FBGN0000463,FBGN0039683,FBGN0026479,FBGN0033159,FBGN0020388,FBGN0001222,FBGN0001233,FBGN0000229,FBGN0024329,FBGN0000063,FBGN0040305,FBGN0032006,FBGN0052062,FBGN0003462,FBGN0016917,FBGN0262473,FBGN0035934,FBGN0053542"
